Timestamp,What grade are you currently in?,Sex?  (As shown on birth certificate),If the elections for STUCO were today who would you vote for?
4/29/2018 22:46:27,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:48:57,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:50:08,11th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:53:36,11th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:56:09,11th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:57:52,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:02:11,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:04:38,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:06:28,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:18:26,11th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 23:22:31,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:27:30,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/30/2018 6:25:01,11th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/30/2018 6:57:30,11th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/30/2018 7:29:39,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:26:09,8th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:37:58,8th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:39:11,8th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
